Date,Time,Mode,Category,Subcategory,Type,Amount,Description
2022-08-14,07:16:00,Credit Card,Food,Coffee,Expense,1576.15,Leave brother bank better she increase try.
2023-06-16,03:36:22,Credit Card,Transport,Train,Expense,1923.33,Stand next though house.
2022-11-26,00:40:03,Credit Card,Entertainment,Subscription,Expense,987.08,Detail subject everything goal yes blue tonight.
2023-10-25,12:13:24,Cash,Shopping,Clothes,Expense,1262.74,Represent since method left plant.
2023-02-05,02:51:27,Debit Card,Income,Freelance,Income,4300.48,Budget situation between.
2024-01-29,10:10:23,Debit Card,Transport,Gas,Expense,31.41,Design they young according movement.
2023-06-06,01:10:34,Cash,Utilities,Water,Expense,1561.95,His evening wife north.
2023-01-03,06:51:27,Cash,Income,Freelance,Income,518.22,Produce develop story drive million push do.
2023-11-09,04:01:05,Credit Card,Food,Groceries,Expense,859.31,Old case administration measure happen.
2023-11-14,11:55:15,Cash,Health,Doctor,Expense,1025.08,Theory choice computer yard.
2022-10-22,04:30:16,Credit Card,Transport,Bus,Expense,815.21,Sit simple notice receive degree.
2024-01-28,01:46:58,Cash,Food,Coffee,Expense,1578.8,Service government opportunity pick too.
2022-09-30,04:19:02,Credit Card,Utilities,Electricity,Expense,607.15,Money grow lay.
2022-07-18,23:00:40,Cash,Utilities,Electricity,Expense,1905.98,Present produce manager well lose finish summer.
2023-01-26,04:42:21,Credit Card,Entertainment,Subscription,Expense,1542.31,I course first factor want decade firm section.
2023-01-18,10:07:02,Credit Card,Shopping,Home Goods,Expense,504.99,Protect process difficult general class admit.
2023-09-27,16:13:21,Debit Card,Food,Coffee,Expense,867.14,Run character against physical.
2022-07-28,16:41:23,Credit Card,Income,Investment,Income,2205.65,Actually watch force.
2024-04-06,02:29:32,Credit Card,Transport,Bus,Expense,267.31,Will institution throughout describe itself group.
2022-11-23,20:44:09,Debit Card,Food,Restaurant,Expense,978.43,Road size impact act through move.
2024-03-24,08:30:31,Cash,Health,Pharmacy,Expense,1368.15,Service north but west commercial may perform.
2023-12-05,21:55:31,Online Payment,Food,Coffee,Expense,869.71,Bag down stock computer.
2022-07-26,15:22:15,Credit Card,Health,Doctor,Expense,177.32,Collection bad until our per leader change.
2023-10-19,10:02:36,Online Payment,Utilities,Electricity,Expense,1555.93,Future scene heavy personal threat.
2023-07-29,12:00:22,Debit Card,Income,Freelance,Income,814.37,Fall character door green save identify.
2023-02-03,12:14:05,Cash,Health,Doctor,Expense,744.85,Address morning explain light alone mother.
2023-09-10,03:29:08,Debit Card,Food,Groceries,Expense,1850.7,Lay return identify.
2023-07-29,09:36:31,Credit Card,Entertainment,Event,Expense,941.65,Event yet effect.
2023-12-19,18:43:28,Online Payment,Utilities,Internet,Expense,1157.2,Yet seven several might history.
2024-04-17,12:52:14,Debit Card,Income,Freelance,Income,2638.8,Break word source wall drug.
2023-12-14,19:06:36,Debit Card,Entertainment,Subscription,Expense,1022.48,Race government trouble tonight former section across.
2024-04-03,22:44:15,Credit Card,Health,Pharmacy,Expense,558.8,Choose general fact fall manager idea issue.
2022-11-18,04:09:07,Credit Card,Health,Pharmacy,Expense,298.29,Notice kind game act.
2024-01-20,17:14:14,Cash,Transport,Train,Expense,1808.45,Section could nature interest wear.
2022-11-21,12:43:34,Cash,Health,Gym,Expense,1821.54,As police often walk.
2023-11-11,02:46:54,Cash,Utilities,Water,Expense,1449.71,Painting senior entire expect investment yard responsibility.
2023-01-25,20:13:30,Cash,Income,Investment,Income,2418.38,Never wrong couple site social suddenly seek.
2022-11-06,13:38:29,Debit Card,Entertainment,Event,Expense,1433.91,His less already treatment PM sometimes set.
2024-06-06,00:40:00,Cash,Shopping,Home Goods,Expense,1535.09,More walk quite piece physical market.
2024-01-27,22:36:09,Cash,Utilities,Water,Expense,1918.54,Number drug continue serve information.
2023-09-27,13:36:25,Debit Card,Health,Pharmacy,Expense,1907.67,Season last meeting southern relate.
2022-12-02,07:43:05,Online Payment,Income,Freelance,Income,4783.44,Type up play wait education think.
2024-02-29,11:35:02,Cash,Shopping,Electronics,Expense,319.48,Foreign film manage several dark huge itself play.
2023-12-13,03:45:56,Cash,Shopping,Home Goods,Expense,323.03,Old great notice.
2023-09-20,06:20:22,Cash,Shopping,Electronics,Expense,130.11,Foreign agency list miss among.
2023-09-21,12:21:28,Credit Card,Health,Gym,Expense,1456.75,Above course book music amount up.
2024-04-25,01:25:07,Online Payment,Transport,Bus,Expense,1918.17,Hotel by year player image central.
2022-10-31,12:39:34,Online Payment,Health,Gym,Expense,786.59,Memory clear throughout treat relate.
2024-01-16,00:35:11,Debit Card,Food,Groceries,Expense,805.51,Role mind statement.
2023-12-27,21:29:03,Credit Card,Food,Coffee,Expense,1220.31,Hold conference son spend ball company enter son.
2023-03-20,16:14:16,Credit Card,Income,Freelance,Income,2543.73,Site military lead travel series.
2023-06-22,02:11:30,Online Payment,Income,Salary,Income,1567.28,Although one political almost.
2024-02-17,05:11:05,Cash,Income,Investment,Income,570.23,Cover social particularly speech.
2023-08-18,15:39:49,Credit Card,Health,Pharmacy,Expense,507.62,Tree care sign arm bar military.
2022-07-10,09:00:23,Online Payment,Income,Freelance,Income,3969.9,Billion parent now from.
2023-04-28,18:09:00,Cash,Transport,Gas,Expense,235.39,Would technology budget first age safe.
2022-07-23,06:54:39,Debit Card,Food,Coffee,Expense,751.77,Cover including artist find hope appear should represent.
2023-04-12,07:54:12,Cash,Health,Gym,Expense,330.09,Approach great top series public none.
2024-03-24,05:33:19,Credit Card,Health,Pharmacy,Expense,739.36,Congress law enough we ask benefit.
2022-07-29,19:01:41,Cash,Entertainment,Event,Expense,580.36,Computer pattern president.
2022-07-19,07:39:05,Debit Card,Income,Salary,Income,2213.28,So second reason live teach movie I.
2024-03-08,01:50:47,Cash,Utilities,Internet,Expense,1708.61,Possible believe step.
2023-03-25,19:11:00,Debit Card,Transport,Gas,Expense,577.67,Likely almost training personal.
2023-02-16,18:22:55,Credit Card,Income,Investment,Income,2512.15,Heavy church nature.
2022-10-31,16:44:07,Credit Card,Transport,Taxi,Expense,1850.31,Single city quite wall.
2024-07-03,09:30:24,Cash,Utilities,Water,Expense,900.92,Watch lot thousand question analysis drive.
2023-02-12,15:05:36,Cash,Transport,Gas,Expense,1971.06,Whom goal clear inside.
2023-04-17,14:46:11,Debit Card,Transport,Train,Expense,1794.65,Hit side class on.
2023-12-24,04:58:14,Online Payment,Utilities,Internet,Expense,502.59,Yourself affect station member.
2022-08-07,07:03:22,Cash,Transport,Taxi,Expense,1783.59,Of challenge check skin.
2024-03-11,05:03:00,Online Payment,Income,Investment,Income,762.6,Job trial four easy case member.
2023-08-27,16:33:57,Online Payment,Shopping,Electronics,Expense,548.51,Candidate not go benefit.
2024-06-03,17:12:44,Credit Card,Shopping,Electronics,Expense,652.19,Likely different house population however.
2023-10-03,10:39:10,Online Payment,Income,Freelance,Income,1273.34,Your those head against particularly.
2023-07-12,02:13:01,Credit Card,Utilities,Electricity,Expense,1772.49,American focus something who blood.
